嗚呼,ああ,"Ah!;Oh!;Alas!",
愛,あい,"love",
相変わらず,あいかわらず,"as ever;as usual;the same",
挨拶,あいさつ,"greeting;salutation",
愛情,あいじょう,"love;affection",
愛する,あいする,"to love",
合図,あいず,"sign;signal",
間,あいだ,"space;interval",
相手,あいて,"companion;partner;company",
愛憎,あいにく,"likes and dislikes",
曖昧,あいまい,"vague;ambiguous",
合う,あう,"to fit;to suit;to agree with;to match;to be correct;to be profitable",
会う,あう,"to meet;to interview",
遭う,あう,"to meet;to encounter (undesirable nuance)",
青,あお,"blue;green;green light",
青い,あおい,"blue;pale;green;unripe;inexperienced",
青白い,あおじろい,"pale;pallid",
亜科,あか,"suborder;subfamily",
赤い,あかい,"red",
銅,あかがね,"copper",
赤ちゃん,あかちゃん,"baby;infant",
明かり,あかり,"lamplight;light (in general);brightness",
明るい,あかるい,"bright;cheerful",
上がる,あがる,"to enter;to go up;to rise;to climb up;to advance;to appreciate;to be promoted;to improve;to call on;to be offered;to accrue;to be finished;to come to (expenses);to go bankrupt;to begin spinning (cocoons);to be caught;to get ruffled;to eat;to drink;to die;to weaken (as a battery);to let up (rain)",
秋,あき,"autumn;fall",
明き,あき,"room;time to spare;emptiness;vacant",
空き,あき,"room;time to spare;emptiness;vacant",
商人,あきうど,"trader;shopkeeper;merchant",
明らか,あきらか,"obvious;evident;clear;plain",
諦める,あきらめる,"to give up;to abandon",
飽きる,あきる,"to get tired of;to lose interest in;to have enough",
呆れる,あきれる,"to be amazed;to be shocked",
開く,あく,"to be open",
空く,あく,"to become empty;to be less crowded",
灰,あく,"puckery juice",
握手,あくしゅ,"handshake",
悪日,あくび,"unlucky day",
悪魔,あくま,"devil;demon;fiend;Satan;evil spirit",
飽くまで,あくまで,"to the end;to the last;stubbornly;persistently",
明くる,あくる,"next;following",
明け方,あけがた,"dawn",
開ける,あける,"to open",
明ける,あける,"to dawn;to become daylight",
上げる,あげる,"to give;to raise;to elevate;to fly (kites);to praise;to increase;to advance;to promote;to vomit;to usher in;to admit;to send (to school);to offer;to present;to leave with;to finish;to arrange (expenses);to observe;to perform;to quote;to mention;to bear (a child);to improve (talents);to do up (the hair);to arrest;to engage;to fry;(rains) to stop",
挙げる,あげる,"to raise;to fly;to give (an example)",
憧れる,あこがれる,"to long for;to yearn after;to admire",
朝,あさ,"morning",
浅い,あさい,"shallow;superficial",
明後日,あさって,"day after tomorrow",
朝寝坊,あさねぼう,"oversleeping;late riser",
字,あざ,"section of village",
足,あし,"foot;pace;gait;leg",
足跡,あしあと,"footprints",
明日,あした,"tomorrow",
足元,あしもと,"1.  at one's feet;underfoot; 2.  gait;pace;step",
味,あじ,"flavor;taste",
味わう,あじわう,"to taste;to savor;to relish",
預かる,あずかる,"to keep in custody;to receive on deposit;to take charge of",
